VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Siddharth Nair,19,1,False
2,2,Meena Bhat,20,2,False
3,3,Kavita Das,21,1,False
4,4,Sanjay Joshi,22,2,False
5,5,Rajesh Chavan,23,1,False
6,6,Anita Singh,24,2,False
7,7,Priya Verma,25,1,False
8,8,Rahul Reddy,26,2,False
9,9,Deepak Menon,27,1,False
10,10,Aisha Sharma,28,2,False
11,11,Siddharth Nair,29,1,False
12,12,Meena Bhat,30,2,False
13,13,Kavita Das,31,1,False
14,14,Sanjay Joshi,32,2,False
15,15,Rajesh Chavan,33,1,False
16,16,Anita Singh,34,2,False
17,17,Priya Verma,35,1,False
18,18,Rahul Reddy,36,2,False
19,19,Deepak Menon,37,1,False
20,20,Aisha Sharma,38,2,False
21,21,Siddharth Nair,39,1,False
22,22,Meena Bhat,40,2,False
23,23,Kavita Das,41,1,False
24,24,Sanjay Joshi,42,2,False
25,25,Rajesh Chavan,43,1,False
26,26,Anita Singh,44,2,False
27,27,Priya Verma,45,1,False
28,28,Rahul Reddy,46,2,False
29,29,Deepak Menon,47,1,False
30,30,Aisha Sharma,48,2,False
31,31,Siddharth Nair,49,1,False
32,32,Meena Bhat,50,2,False
33,33,Kavita Das,51,1,False
34,34,Sanjay Joshi,52,2,False
35,35,Rajesh Chavan,53,1,False
36,36,Anita Singh,54,2,False
37,37,Priya Verma,55,1,False
38,38,Rahul Reddy,56,2,False
39,39,Deepak Menon,57,1,False
40,40,Aisha Sharma,58,2,False
41,41,Siddharth Nair,59,1,False
42,42,Meena Bhat,60,2,False
43,43,Kavita Das,61,1,False
44,44,Sanjay Joshi,62,2,False
45,45,Rajesh Chavan,63,1,False
46,46,Anita Singh,64,2,False
47,47,Priya Verma,65,1,False
48,48,Rahul Reddy,66,2,False
49,49,Deepak Menon,67,1,False
50,50,Aisha Sharma,18,2,False
51,51,Siddharth Nair,19,1,False
52,52,Meena Bhat,20,2,False
53,53,Kavita Das,21,1,False
54,54,Sanjay Joshi,22,2,False
55,55,Rajesh Chavan,23,1,False
56,56,Anita Singh,24,2,False
57,57,Priya Verma,25,1,False
58,58,Rahul Reddy,26,2,False
59,59,Deepak Menon,27,1,False
60,60,Aisha Sharma,28,2,False
61,61,Siddharth Nair,29,1,False
62,62,Meena Bhat,30,2,False
63,63,Kavita Das,31,1,False
64,64,Sanjay Joshi,32,2,False
65,65,Rajesh Chavan,33,1,False
66,66,Anita Singh,34,2,False
67,67,Priya Verma,35,1,False
68,68,Rahul Reddy,36,2,False
69,69,Deepak Menon,37,1,False
70,70,Aisha Sharma,38,2,False
71,71,Siddharth Nair,39,1,False
72,72,Meena Bhat,40,2,False
73,73,Kavita Das,41,1,False
74,74,Sanjay Joshi,42,2,False
75,75,Rajesh Chavan,43,1,False
76,76,Anita Singh,44,2,False
77,77,Priya Verma,45,1,False
78,78,Rahul Reddy,46,2,False
79,79,Deepak Menon,47,1,False
80,80,Aisha Sharma,48,2,False
81,81,Siddharth Nair,49,1,False
82,82,Meena Bhat,50,2,False
83,83,Kavita Das,51,1,False
84,84,Sanjay Joshi,52,2,False
85,85,Rajesh Chavan,53,1,False
86,86,Anita Singh,54,2,False
87,87,Priya Verma,55,1,False
88,88,Rahul Reddy,56,2,False
89,89,Deepak Menon,57,1,False
90,90,Aisha Sharma,58,2,False
91,91,Siddharth Nair,59,1,False
92,92,Meena Bhat,60,2,False
93,93,Kavita Das,61,1,False
94,94,Sanjay Joshi,62,2,False
95,95,Rajesh Chavan,63,1,False
96,96,Anita Singh,64,2,False
97,97,Priya Verma,65,1,False
98,98,Rahul Reddy,66,2,False
99,99,Deepak Menon,67,1,False
100,100,Aisha Sharma,18,2,False
101,101,Siddharth Nair,19,1,False
102,102,Meena Bhat,20,2,False
103,103,Kavita Das,21,1,False
104,104,Sanjay Joshi,22,2,False
105,105,Rajesh Chavan,23,1,False
106,106,Anita Singh,24,2,False
107,107,Priya Verma,25,1,False
108,108,Rahul Reddy,26,2,False
109,109,Deepak Menon,27,1,False
110,110,Aisha Sharma,28,2,False
111,111,Siddharth Nair,29,1,False
112,112,Meena Bhat,30,2,False
113,113,Kavita Das,31,1,False
114,114,Sanjay Joshi,32,2,False
115,115,Rajesh Chavan,33,1,False
116,116,Anita Singh,34,2,False
117,117,Priya Verma,35,1,False
118,118,Rahul Reddy,36,2,False
119,119,Deepak Menon,37,1,False
120,120,Aisha Sharma,38,2,False
121,121,Siddharth Nair,39,1,False
122,122,Meena Bhat,40,2,False
123,123,Kavita Das,41,1,False
124,124,Sanjay Joshi,42,2,False
125,125,Rajesh Chavan,43,1,False
126,126,Anita Singh,44,2,False
127,127,Priya Verma,45,1,False
128,128,Rahul Reddy,46,2,False
129,129,Deepak Menon,47,1,False
130,130,Aisha Sharma,48,2,False
131,131,Siddharth Nair,49,1,False
132,132,Meena Bhat,50,2,False
133,133,Kavita Das,51,1,False
134,134,Sanjay Joshi,52,2,False
